name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Beansclean,beansclean,Beansclean,https://www.waldeneffect.org/20101010mesh.jpg,category:pest & disease control|company:hanzhou ea|type:inputs,Kg,10,B2024020800140,350,zero,100,,,
,,,,,Ml,500,B2024020800141,700,zero,100,,,
,,,,,Ml,500,B2024020800142,665,zero,100,,,
Beansclean 5 Pic,beansclean-5-pic,Beansclean 5 Pic,https://www.waldeneffect.org/20101010mesh.jpg,,Litre,1,B2024020800143,1450,zero,100,,,
Bedlam,bedlam,Bedlam,,category:sacks|company:kenagro supplies ltd|type:inputs,Ml,50,B2024020800144,200,zero,100,,,
Bedram,bedram,Bedram,,,Ml,15,B2024020800145,100,zero,100,,,
Belt,belt,Belt,https://baccabucci.com/cdn/shop/files/IMG_2584_1200x1200_crop_center.jpg?v=1688561800,category:pest & disease control|company:bayer monsanto|type:inputs,Ml,4,B2024020800146,105,zero,100,,,
Bentagran Top,bentagran-top,Bentagran Top,https://www.greenlife.co.ke/wp-content/uploads/2022/02/bentagran_top_240EC.png,,Litre,1,B2024020800147,2300,zero,100,,,
Bento Clean,bento-clean,Bento Clean,,category:herbicide|company:eurochem|type:inputs,Ml,500,B2024020800148,1050,zero,100,,,
Bestox,bestox,Bestox,https://laz-img-sg.alicdn.com/p/cc6056c62edaae9bac3ccee5caae60d7.jpg,category:pest & disease control|company:juanco sps ltd|type:inputs,Litre,1,B2024020800149,2000,zero,100,,,
,,,,,Ml,50,B2024020800150,141,zero,100,,,
Bestphos,bestphos,Bestphos,,category:livestock products|company:besvet|type:inputs,Kg,5,B2024020800151,350,zero,100,,,
Beta Booster,beta-booster,Beta Booster,,category:foliar|company:cenriva traders ltd|type:inputs,Litre,2,B2024020800152,110,zero,100,,,
,,,,,Ml,500,B2024020800153,150,zero,100,,,
Betabooster,betabooster,Betabooster,,category:foliar|company:agrochemicals|type:inputs,Litre,10,B2024020800154,130,zero,100,,,
Betacyde,betacyde,Betacyde,,,Ml,50,B2024020800155,104,zero,100,,,
Betafos,betafos,Betafos,,,Ml,50,B2024020800156,100,zero,100,,,
Betalick,betalick,Betalick,,category:livestock products|company:rebno feed|type:inputs,Kg,5,B2024020800157,250,zero,100,,,
Bimatix,bimatix,Bimatix,,,Ml,20,B2024020800158,76,zero,100,,,
Bimatryp,bimatryp,Bimatryp,,,. Grams,2,B2024020800159,30,zero,100,,,
Bio Plus Link,bio-plus-link,Bio Plus Link,,category:livestock products|company:bioscience|type:inputs,Kg,1,B2024020800160,180,zero,100,,,
Biosec,biosec,Biosec,,category:pest & disease control|company:atlantis life science|type:inputs,Litre,1,B2024020800161,980,zero,100,,,
Biosol,biosol,Biosol,,category:livestock products|company:biodeal|type:inputs,Grams,30,B2024020800162,85,zero,100,,,
Biosol(Vetcare),biosol(vetcare),Biosol(Vetcare),,category:poultry|company:alfavet animal heatucare ltd|type:inputs,Grams,25,B2024020800163,33,zero,100,,,
Biotriem Vet Plus,biotriem-vet-plus,Biotriem Vet Plus,,category:poultry|company:biodeal laboratories ltd|type:inputs,Grams,30,B2024020800164,165,zero,100,,,
Biotrim,biotrim,Biotrim,,,Grams,100,B2024020800165,85,zero,100,,,
Biotrim Vet,biotrim-vet,Biotrim Vet,,category:poultry|company:wambugu|type:inputs,Grams,30,B2024020800166,80,zero,100,,,
Black Night Shade,black-night-shade,Black Night Shade,,category:seedlings|company:simlaw|type:inputs,Grams,25,B2024020800167,80,zero,100,,,
Block,block,Block,,category:livestock products|company:murphy chemicals|type:inputs,Kg,2,B2024020800168,200,zero,100,,,
Blow Sum G,blow-sum-g,Blow Sum G,,category:foliar|company:new science agrochemicals|type:inputs,Litre,1,B2024020800169,420,zero,100,,,
Blow Sum K,blow-sum-k,Blow Sum K,,,Litre,1,B2024020800170,420,zero,100,,,
Blow Sum Viazi,blow-sum-viazi,Blow Sum Viazi,,,Litre,1,B2024020800171,420,zero,100,,,
Bm,bm,Bm,,category:foliar|company:organic africa|type:inputs,Litre,1,B2024020800172,200,zero,100,,,
Bokash,bokash,Bokash,,category:others|company:nawili|type:inputs,Bags,50,B2024020800173,1600,zero,100,,,
Bombay Red Onion,bombay-red-onion,Bombay Red Onion,,,Grams,500,B2024020800174,2500,zero,100,,,
Bonzin,bonzin,Bonzin,,category:foliar|company:truvet|type:inputs,Ml,250,B2024020800175,280,zero,100,,,
Booster,booster,Booster,,category:foliar|company:pecolchem enterprise|type:inputs,Ml,500,B2024020800176,60,zero,100,,,
,,,,,Litre,1,B2024020800177,110,zero,100,,,
Botatox,botatox,Botatox,,,Ml,50,B2024020800178,80,zero,100,,,
Bovacycine,bovacycine,Bovacycine,,category:livestock products|company:osho chemical companies|type:inputs,Ml,50,B2024020800179,132,zero,100,,,
Bovamox Extra,bovamox-extra,Bovamox Extra,,category:poultry|company:allure animal health ltd|type:inputs,Litre,29,B2024020800180,770,zero,100,,,
Bovazole 2.5%,bovazole-2.5%,Bovazole 2.5%,,category:drugs|company:allure animal health limited|type:inputs,Ml,40,B2024020800181,40,zero,100,,,
Bozin,bozin,Bozin,,category:fertilizers|company:truevet|type:inputs,Ml,500,B2024020800182,550,zero,100,,,
Brachiaria,brachiaria,Brachiaria,,category:seeds|company:amiran (k) ltd|type:inputs,Kg,4,B2024020800183,5500,zero,100,,,
Brain,brain,Brain,,category:livestock products|company:kajamba|type:inputs,Bags,50,B2024020800184,1000,zero,100,,,
Bran Mix,bran-mix,Bran Mix,,category:livestock products|company:jikaze millers|type:inputs,Kg,50,B2024020800185,1200,zero,100,,,
Break Down,break-down,Break Down,,,Litre,1,B2024020800186,2800,zero,100,,,
Brick,brick,Brick,,category:livestock products|company:ideal|type:inputs,Kg,5,B2024020800187,400,zero,100,,,
Bull,bull,Bull,,category:others|company:cheborgei farm|type:inputs,Others,1,B2024020800188,20000,zero,100,,,
Bupalet ,bupalet-,Bupalet ,,category:drugs|company:highchem|type:inputs,Ml,50,B2024020800189,1619,zero,100,,,
Bupalex,bupalex,Bupalex,,,Ml,20,B2024020800190,500,zero,100,,,
Burnwid,burnwid,Burnwid,,category:herbicide|company:truevet|type:inputs,Litre,1,B2024020800191,600,zero,100,,,
Buvanol ,buvanol,Buvanol ,,,Ml,20,B2024020800192,556,zero,100,,,
C5 Onion,c5-onion,C5 Onion,https://farmr.gh-f.org/wp-content/uploads/2022/03/Red-croele-c5-EA-Seeds.jpg,,Grams,500,C2024020800193,2700,zero,100,,,
Cabbage,cabbage,Cabbage,https://4.imimg.com/data4/EV/MV/MY-2/green-cabbage-500x500.jpg,,Grams,35,C2024020800194,2800,zero,100,,,
Cabbage Copenhagen,cabbage-copenhagen,Cabbage Copenhagen,https://img.agriexpo.online/images_ag/photo-mg/184529-12683529.jpg,category:seeds|company:simlaw|type:inputs,Grams,50,C2024020800195,112,zero,100,,,
Calboro,calboro,Calboro,https://5.imimg.com/data5/SELLER/Default/2022/10/UY/CV/YI/79344230/calbor-1--250x250.png,category:foliar|company:chema|type:inputs,Litre,500,C2024020800196,650,zero,100,,,
Calculator,calculator,Calculator,https://noboss.in/cdn/shop/products/201601010099_800x.jpg?v=1606111915,category:others|company:hp|type:inputs,Pieces,12,C2024020800197,120,zero,100,,,
Calfoset Injection,calfoset-injection,Calfoset Injection,https://vetpromet.com.mk/wp-content/uploads/2021/10/Calfoset-100-ml.jpg,category:livestock products|company:medisel k ltd|type:inputs,Ml,100,C2024020800198,330,zero,100,,,
Can,can,Can,https://5.imimg.com/data5/SELLER/Default/2021/4/BV/DB/WY/38090665/g03-600x600-500x500.jpg,,Kg,10,C2024020800199,540,zero,100,,,
,,,,,Bags,50,C2024020800200,2600,zero,100,,,
Can 26% Falcon,can-26%-falcon,Can 26% Falcon,,category:fertilizers|company:falcon ltd|type:inputs,Kg,50,C2024020800201,2600,zero,100,,,
Can 26% Mea,can-26%-mea,Can 26% Mea,,category:fertilizers|company:mea|type:inputs,Kg,50,C2024020800202,2600,zero,100,,,
Can 26% Solai,can-26%-solai,Can 26% Solai,,category:fertilizers|company:solai fertilizer ltd|type:inputs,Kg,50,C2024020800203,2550,zero,100,,,
Can Fertilizer,can-fertilizer,Can Fertilizer,,,Kg,50,C2024020800204,5700,zero,100,,,
Can Topdressing,can-topdressing,Can Topdressing,,,Kg,50,C2024020800205,2500,zero,100,,,
Can Yala,can-yala,Can Yala,,category:fertilizers|company:yala|type:inputs,Kg,25,C2024020800206,1850,zero,100,,,
Canga,canga,Canga,,,Grams,500,C2024020800207,600,zero,100,,,
,,,,,Litre,1,C2024020800208,1500,zero,100,,,
Caprocaffaro,caprocaffaro,Caprocaffaro,,category:fungicides|company:arysta lifescience|type:inputs,Kg,1,C2024020800209,1198,zero,100,,,
Capsicum,capsicum,Capsicum,,,Grams,25,C2024020800210,135,zero,100,,,
Capture,capture,Capture,,category:pest & disease control|company:rainbow|type:inputs,Ml,50,C2024020800211,300,zero,100,,,
Cardilac,cardilac,Cardilac,,category:fungicides|company:greenlife|type:inputs,Kg,5,C2024020800212,2175,zero,100,,,
Carrier Bags,carrier-bags,Carrier Bags,,category:others|company:reply|type:inputs,Pieces,3,C2024020800213,5,zero,100,,,
Carrot,carrot,Carrot,,,Pieces,250,C2024020800214,780,zero,100,,,
,,,,,Grams,10,C2024020800215,80,zero,100,,,
Carrot Nantes,carrot-nantes,Carrot Nantes,,category:seeds|company:royal sluis|type:inputs,Grams,100,C2024020800216,425,zero,100,,,
Carrots,carrots,Carrots,,,Grams,10,C2024020800217,51,zero,100,,,
Catalyst,catalyst,Catalyst,,category:foliar|company:other|type:inputs,Kg,10,C2024020800218,350,zero,100,,,
Catapult,catapult,Catapult,,,Litre,10,C2024020800219,650,zero,100,,,
,,,,,Ml,500,C2024020800220,255,zero,100,,,
Cattle Lamba,cattle-lamba,Cattle Lamba,,,Kg,2,C2024020800221,150,zero,100,,,
Cattle Lamba White,cattle-lamba-white,Cattle Lamba White,,,Kg,2,C2024020800222,225,zero,100,,,
Cattle Lamda,cattle-lamda,Cattle Lamda,,,Kg,2,C2024020800223,170,zero,100,,,
Cattlephos Block White,cattlephos-block-white,Cattlephos Block White,,category:livestock products|company:betra kimya ltd|type:inputs,Kg,2,C2024020800224,215,zero,100,,,
Cattlephos Joto,cattlephos-joto,Cattlephos Joto,,category:salts|company:allure animal health limited|type:inputs,Kg,1,C2024020800225,158,zero,100,,,
Cattlephos Maziwa,cattlephos-maziwa,Cattlephos Maziwa,,,Kg,1,C2024020800226,188,zero,100,,,
Cattlephos Nyama- Stocklik,cattlephos-nyama--stocklik,Cattlephos Nyama- Stocklik,,,Kg,1,C2024020800227,71,zero,100,,,
Cauro Mug White,cauro-mug-white,Cauro Mug White,,category:others|company:nice one|type:inputs,Pieces,48,C2024020800228,36,zero,100,,,
Cauro Plate White,cauro-plate-white,Cauro Plate White,,,Pieces,68,C2024020800229,39,zero,100,,,
Cement,cement,Cement,,category:others|company:bamburi|type:inputs,Kg,1,C2024020800230,590,zero,100,,,
,,,,,Bags,50,C2024020800231,530,zero,100,,,
Cemeny,cemeny,Cemeny,,,Kg,1,C2024020800232,590,zero,100,,,
Certified Seeds,certified-seeds,Certified Seeds,,category:seeds|company:freshcrop limit company|type:inputs,Bags,50,C2024020800233,3200,zero,100,,,
,,,,,Kg,50,C2024020800234,2700,zero,100,,,
Certified Seeds Potatoes,certified-seeds-potatoes,Certified Seeds Potatoes,,category:seeds|company:sygenta foundation seed 2b east africa|type:inputs,Kg,50,C2024020800235,2750,zero,100,,,
Chairs,chairs,Chairs,,,Pieces,1,C2024020800236,570,zero,100,,,
Chali Dudu,chali-dudu,Chali Dudu,,category:insecticides|company:aok|type:inputs,Grams,100,C2024020800237,90,zero,100,,,
Chali Dudu Dust,chali-dudu-dust,Chali Dudu Dust,,category:others|company:oak medica|type:inputs,Grams,100,C2024020800238,150,zero,100,,,
Champion,champion,Champion,,,Litre,5,C2024020800239,263,zero,100,,,
,,,,,Ml,500,C2024020800240,38,zero,100,,,
Chapa Meli,chapa-meli,Chapa Meli,,,Kg,25,C2024020800241,2850,zero,100,,,
Chapameli,chapameli,Chapameli,,,Kg,50,C2024020800242,3500,zero,100,,,
Chariot,chariot,Chariot,,,Litre,1,C2024020800243,1665,zero,100,,,
,,,,,Ml,100,C2024020800244,213,zero,100,,,
Chemical,chemical,Chemical,,category:plant growth booster|company:east africa|type:inputs,Litre,1000,C2024020800245,450,zero,100,,,
Chemicals,chemicals,Chemicals,,category:insecticides|company:greenlife|type:inputs,Ml,100,C2024020800246,575,zero,100,,,
Chichmah,chichmah,Chichmah,,category:feeds|company:wema feeds|type:inputs,Kg,5,C2024020800247,200,zero,100,,,
Chick And Duckling Mash,chick-and-duckling-mash,Chick And Duckling Mash,,category:poultry|company:empire feeds|type:inputs,Kg,50,C2024020800248,2855,zero,100,,,
Chick Formula,chick-formula,Chick Formula,,category:pest & disease control|company:alfa bet|type:inputs,Grams,25,C2024020800249,45,zero,100,,,
Chick Formular,chick-formular,Chick Formular,,category:others|company:cosmos|type:inputs,Grams,25,C2024020800250,80,zero,100,,,
Chick Mash,chick-mash,Chick Mash,,category:livestock products|company:royal|type:inputs,Kg,20,C2024020800251,870,zero,100,,,
Chick Power,chick-power,Chick Power,,category:others|company:osho chemical industries ltd|type:inputs,Grams,250,C2024020800252,450,zero,100,,,
Chick Start,chick-start,Chick Start,,category:day old chicks|company:twiga chemical industries ltd.|type:inputs,Grams,30,C2024020800253,50,zero,100,,,
Chick Supplements,chick-supplements,Chick Supplements,,category:poultry|company:poultry|type:inputs,Kg,1,C2024020800254,860,zero,100,,,
Chicken,chicken,Chicken,,category:poultry|company:confide ltd|type:inputs,Pieces,50,C2024020800255,100,zero,100,,,
Chicken Drinker,chicken-drinker,Chicken Drinker,,category:livestock products|company:kenpoly|type:inputs,Litre,3,C2024020800256,200,zero,100,,,
Chicken Feed,chicken-feed,Chicken Feed,,category:livestock products|company:poultry|type:inputs,Kg,50,C2024020800257,2380,zero,100,,,
Chicken Mash,chicken-mash,Chicken Mash,,category:others|company:ken broiler|type:inputs,Bags,30,C2024020800258,280,zero,100,,,
,,,,,Kg,5,C2024020800259,220,zero,100,,,
Chicken Netwire,chicken-netwire,Chicken Netwire,,category:poultry|company:kidani|type:inputs,Others,1,C2024020800260,1800,zero,100,,,
Chickmash,chickmash,Chickmash,,category:livestock products|company:fugo feeds|type:inputs,Kg,50,C2024020800261,3400,zero,100,,,
Chickmash Empire,chickmash-empire,Chickmash Empire,,category:poultry|company:empire|type:inputs,Kg,50,C2024020800262,65,zero,100,,,
Chicks,chicks,Chicks,,category:others|company:darif agri ventures|type:inputs,Pieces,100,C2024020800263,100,zero,100,,,
Chicks/Chicken,chicks/chicken,Chicks/Chicken,,category:poultry|company:kuku chick|type:inputs,Others,100,C2024020800264,90,zero,100,,,
,,,,,Bags,50,C2024020800265,4800,zero,100,,,
,,,,,Pack,15,C2024020800266,100,zero,100,,,
,,,,,Pieces,200,C2024020800267,300,zero,100,,,
Chinese Cabbage,chinese-cabbage,Chinese Cabbage,,,Grams,25,C2024020800268,60,zero,100,,,
Chuffcutter,chuffcutter,Chuffcutter,,category:others|company:peter willys|type:inputs,Pieces,1,C2024020800269,40000,zero,100,,,
Ckl Xtra Legends,ckl-xtra-legends,Ckl Xtra Legends,,category:salts|company:ckl africa ltd|type:inputs,Kg,1,C2024020800270,235,zero,100,,,
Clearup,clearup,Clearup,,category:herbicide|company:united agrochemicals ltd|type:inputs,Litre,1,C2024020800271,400,zero,100,,,
Clipclick Mineral Block,clipclick-mineral-block,Clipclick Mineral Block,,category:poultry|company:nikifarm|type:inputs,Kg,2,C2024020800272,170,zero,100,,,
Cocopeat,cocopeat,Cocopeat,,category:others|company:agroduka|type:inputs,Kg,5,C2024020800273,800,zero,100,,,
Coffee,coffee,Coffee,,category:others|company:topline ltd|type:inputs,Grams,25,C2024020800274,20,zero,100,,,
Collard Agripack,collard-agripack,Collard Agripack,,category:seeds|company:agripack|type:inputs,Grams,50,C2024020800275,115,zero,100,,,
Collards,collards,Collards,,,Grams,1000,C2024020800276,3,zero,100,,,
Commander,commander,Commander,,,Ml,250,C2024020800277,555,zero,100,,,
,,,,,Litre,1,C2024020800278,2137,zero,100,,,
Common Sait,common-sait,Common Sait,,category:feeds|company:sawa limited|type:inputs,Kg,10,C2024020800279,200,zero,100,,,
Confidor,confidor,Confidor,,,Grams,5,C2024020800280,170,zero,100,,,
Cooper Sulphate,cooper-sulphate,Cooper Sulphate,,category:livestock products|company:goodson product input|type:inputs,Grams,100,C2024020800281,180,zero,100,,,
Copenhagen,copenhagen,Copenhagen,,,Grams,25,C2024020800282,80,zero,100,,,
Copenhagen Griffaton,copenhagen-griffaton,Copenhagen Griffaton,,category:seedlings|company:griffaton|type:inputs,Grams,10,C2024020800283,49,zero,100,,,
Copper Sulphate,copper-sulphate,Copper Sulphate,,category:livestock products|company:highchem group|type:inputs,Grams,250,C2024020800284,190,zero,100,,,
Coriander,coriander,Coriander,,,Grams,2,C2024020800285,67,zero,100,,,
Coriander Dania,coriander-dania,Coriander Dania,,category:pest & disease control|company:simlaw|type:inputs,Grams,10,C2024020800286,45,zero,100,,,
Corrot,corrot,Corrot,,category:seeds|company:rayol|type:inputs,Grams,250,C2024020800287,720,zero,100,,,
,,,,,Pieces,250,C2024020800288,720,zero,100,,,
Corum,corum,Corum,,category:fungicides|company:united agrochemicals|type:inputs,Kg,5,C2024020800289,5000,zero,100,,,
Cotton,cotton,Cotton,,category:livestock products|company:trust feed|type:inputs,Kg,1,C2024020800290,70,zero,100,,,
Covver,covver,Covver,,category:pest & disease control|company:lepal distributors|type:inputs,Grams,500,C2024020800291,1100,zero,100,,,
,,,,,Kg,1,C2024020800292,2300,zero,100,,,
Cowpeas Seeds,cowpeas-seeds,Cowpeas Seeds,,,Grams,20,C2024020800293,300,zero,100,,,
Crop Boost,crop-boost,Crop Boost,,,Litre,1,C2024020800294,800,zero,100,,,
Crop Booster,crop-booster,Crop Booster,,category:foliar|company:yala|type:inputs,Pieces,1,C2024020800295,800,zero,100,,,
Crop Wet,crop-wet,Crop Wet,,category:sticker|company:farmbase agriscience|type:inputs,Litre,1,C2024020800296,450,zero,100,,,
Crop Wonder,crop-wonder,Crop Wonder,,category:foliar|company:jojemi agro ventures|type:inputs,Ml,500,C2024020800297,225,zero,100,,,
,,,,,Litre,1,C2024020800298,365,zero,100,,,
Crop Wonder Calcimag,crop-wonder-calcimag,Crop Wonder Calcimag,,category:fertilizers|company:jojemi agri ventures|type:inputs,Ml,500,C2024020800299,225,zero,100,,,
Crop Wonder K,crop-wonder-k,Crop Wonder K,,,Litre,1,C2024020800300,380,zero,100,,,
Crop Wonder P,crop-wonder-p,Crop Wonder P,,,Ml,500,C2024020800301,220,zero,100,,,
Cropmine,cropmine,Cropmine,,category:herbicide|company:agricare east africa ltd.|type:inputs,Litre,1,C2024020800302,450,zero,100,,,
Cropstar,cropstar,Cropstar,,category:foliar|company:microstar international|type:inputs,Ml,500,C2024020800303,260,zero,100,,,
Crumb,crumb,Crumb,,category:livestock products|company:empire feed|type:inputs,Kg,50,C2024020800304,3300,zero,100,,,
Cuprocafaro,cuprocafaro,Cuprocafaro,,category:fungicides|company:isagro|type:inputs,Grams,500,C2024020800305,520,zero,100,,,
Cuprocaffaro,cuprocaffaro,Cuprocaffaro,,category:pest & disease control|company:arysta lifescience|type:inputs,Kg,2,C2024020800306,1600,zero,100,,,
,,,,,Litre,1,C2024020800307,1600,zero,100,,,
Cups,cups,Cups,,,Pieces,12,C2024020800308,39,zero,100,,,
Curafluke ,curafluke,Curafluke ,,,Ml,120,C2024020800309,305,zero,100,,,
Cyberdip,cyberdip,Cyberdip,,,Ml,20,C2024020800310,95,zero,100,,,
Cyclotron,cyclotron,Cyclotron,,,Ml,100,C2024020800311,230,zero,100,,,
Cyperdip,cyperdip,Cyperdip,,category:livestock products|company:animix ltd|type:inputs,Ml,20,C2024020800312,90,zero,100,,,
Cytomon,cytomon,Cytomon,,category:plant growth booster|company:truevet|type:inputs,Ml,100,C2024020800313,1085,zero,100,,,
D Amine,d-amine,D Amine,,,Ml,500,D2024020800314,270,zero,100,,,
,,,,,Litre,1,D2024020800315,482,zero,100,,,
D-Amine,,D-Amine,,,Litre,1,D2024020800316,500,zero,100,,,
D.A.P,d.a.p,D.A.P,,category:fertilizers|company:neem agrovet|type:inputs,Kg,50,D2024020800317,35,zero,100,,,
Dabendazole,dabendazole,Dabendazole,,,Ml,120,D2024020800318,55,zero,100,,,
Dabotik,dabotik,Dabotik,,category:livestock products|company:truvet|type:inputs,Ml,100,D2024020800319,330,zero,100,,,
Daconil,daconil,Daconil,,category:fungicides|company:syngenta|type:inputs,Ml,1,D2024020800320,850,zero,100,,,
Dahist Vet,dahist-vet,Dahist Vet,,,Ml,50,D2024020800321,200,zero,100,,,
Daily Meals,daily-meals,Daily Meals,,category:livestock products|company:fugoo|type:inputs,Kg,50,D2024020800322,1900,zero,100,,,
Dair Meal,dair-meal,Dair Meal,,category:feeds|company:lelchego|type:inputs,Kg,70,D2024020800323,3300,zero,100,,,
Dairy Meal,dairy-meal,Dairy Meal,,category:livestock products|company:meru central|type:inputs,Bags,1,D2024020800324,21,zero,100,,,
,,,,,Kg,10,D2024020800325,330,zero,100,,,
Dairy Meal High Yield,dairy-meal-high-yield,Dairy Meal High Yield,https://www.sigmafeeds.com/assets/images/resource/products/High-Yield-Mealcubes.png,category:livestock products|company:turbo|type:inputs,Kg,70,D2024020800326,2000,zero,100,,,
Dairy Meal Mamba,dairy-meal-mamba,Dairy Meal Mamba,https://www.sigmafeeds.com/assets/images/resource/products/High-Yield-Mealcubes.png,,Kg,70,D2024020800327,2300,zero,100,,,
Dairy Meal Premium,dairy-meal-premium,Dairy Meal Premium,https://www.sigmafeeds.com/assets/images/resource/products/High-Yield-Mealcubes.png,category:livestock products|company:afya millers|type:inputs,Kg,70,D2024020800328,2200,zero,100,,,
Dairy Meal Standard,dairy-meal-standard,Dairy Meal Standard,https://www.sigmafeeds.com/assets/images/resource/products/High-Yield-Mealcubes.png,category:livestock products|company:empire feeds|type:inputs,Kg,70,D2024020800329,2490,zero,100,,,
Dairy Meals,dairy-meals,Dairy Meals,https://i.roamcdn.net/hz/pi/listing-gallery-full-1920w/5de53d452a6d57b68319b3566435eeea/-/horizon-files-prod/pi/picture/qwqzp05/fcc77fb73a87b1505ab5444cce69c503d3dfc84d.jpg,category:livestock products|company:naku feeds|type:inputs,Kg,100,D2024020800330,4000,zero,100,,,
Dairy Salt,dairy-salt,Dairy Salt,https://www.mustakshif.com/public/uploads/products/devondale-devondale-dairy-soft-salt-reduced-butter-blend-500g_9300639100036_Mustakshif.jpg,,Kg,74,D2024020800331,2500,zero,100,,,
Damectin,damectin,Damectin,https://rooyandarou.com/wp-content/uploads/2019/12/Dectomectin-2.jpg,,Ml,10,D2024020800332,60,zero,100,,,
Dap,dap,Dap,,,Kg,25,D2024020800333,1850,zero,100,,,
,,,,,Bags,10,D2024020800334,1220,zero,100,,,
Dap Baraka,dap-baraka,Dap Baraka,,,Kg,50,D2024020800335,3950,zero,100,,,
Dap Chapa Meli,dap-chapa-meli,Dap Chapa Meli,,,Kg,50,D2024020800336,5750,zero,100,,,
Dap Elgon,dap-elgon,Dap Elgon,,category:fertilizers|company:thabithi|type:inputs,Kg,25,D2024020800337,1770,zero,100,,,
Dap Elgon Thabiti,dap-elgon-thabiti,Dap Elgon Thabiti,,,Kg,25,D2024020800338,2900,zero,100,,,
Dap Falcan,dap-falcan,Dap Falcan,,category:herbicide|company:dap|type:inputs,Kg,10,D2024020800339,3500,zero,100,,,
Dap Fertilizer,dap-fertilizer,Dap Fertilizer,,category:fertilizers|company:murimi|type:inputs,Kg,50,D2024020800340,5800,zero,100,,,
Dap Yara,dap-yara,Dap Yara,,,Kg,10,D2024020800341,780,zero,100,,,
Dascarnil,dascarnil,Dascarnil,,category:others|company:dawa|type:inputs,Grams,30,D2024020800342,85,zero,100,,,
Dathine,dathine,Dathine,,category:herbicide|company:murphy chemicals|type:inputs,Pieces,500,D2024020800343,400,zero,100,,,
Dawa Penstrep,dawa-penstrep,Dawa Penstrep,,category:livestock products|company:medisel kenya ltd|type:inputs,Ml,50,D2024020800344,350,zero,100,,,
Dawa Tylodoxy,dawa-tylodoxy,Dawa Tylodoxy,,category:medication|company:medicel|type:inputs,Grams,50,D2024020800345,250,zero,100,,,
Dawa Ya Kuku,dawa-ya-kuku,Dawa Ya Kuku,,category:livestock products|company:vetanary|type:inputs,Ml,50,D2024020800346,200,zero,100,,,
Dawa-Tylodoxy200,dawa-tylodoxy200,Dawa-Tylodoxy200,,category:poultry|company:medisel kenya ltd|type:inputs,Grams,30,D2024020800347,158,zero,100,,,
Dawatrim Tab,dawatrim-tab,Dawatrim Tab,,category:drugs|company:dawa|type:inputs,Pieces,40,D2024020800348,12,zero,100,,,
Daxajet,daxajet,Daxajet,,,Ml,50,D2024020800349,200,zero,100,,,
Day Old Broiler Chickens,day-old-broiler-chickens,Day Old Broiler Chickens,,category:poultry|company:kukuchick ltd|type:inputs,Others,1,D2024020800350,90,zero,100,,,
Day Old Chicks,day-old-chicks,Day Old Chicks,,category:day old chicks|company:pafa poultry breeders and hatcheries|type:inputs,Pieces,1,D2024020800351,95,zero,100,,,
Dayold Chicks,dayold-chicks,Dayold Chicks,,category:day old chicks|company:kukuchick|type:inputs,Trays,100,D2024020800352,9500,zero,100,,,
Dcp,dcp,Dcp,,category:livestock products|company:highchem|type:inputs,Kg,1,D2024020800353,110,zero,100,,,
,,,,,Grams,500,D2024020800354,70,zero,100,,,
,,,,,Ml,250,D2024020800355,45,zero,100,,,
Dcp High Phosporus,dcp-high-phosporus,Dcp High Phosporus,,category:livestock products|company:farmcare|type:inputs,Grams,500,D2024020800356,85,zero,100,,,
Dcp Truevet,dcp-truevet,Dcp Truevet,,category:livestock products|company:truevet|type:inputs,Grams,250,D2024020800357,45,zero,100,,,
Decis,decis,Decis,,,Ml,50,D2024020800358,390,zero,100,,,
Decis Forte,decis-forte,Decis Forte,,category:insecticides|company:bayer monsanto|type:inputs,Others,100,D2024020800359,400,zero,100,,,
,,,,,Ml,50,D2024020800360,400,zero,100,,,
Degree Max,degree-max,Degree Max,,category:insecticides|company:osho chemicals|type:inputs,Ml,100,D2024020800361,250,zero,100,,,
Degreemax,degreemax,Degreemax,,category:insecticides|company:agricare east africa ltd.|type:inputs,Ml,12,D2024020800362,130,zero,100,,,
Delete,delete,Delete,,category:livestock products|company:habfarm|type:inputs,Ml,40,D2024020800363,200,zero,100,,,
Delete Ec,delete-ec,Delete Ec,,category:others|company:highchem|type:inputs,Ml,20,D2024020800364,100,zero,100,,,
Dera,dera,Dera,,,Kg,2,D2024020800365,210,zero,100,,,
,,,,,Grams,400,D2024020800366,95,zero,100,,,
Detergents Chemicals,detergents-chemicals,Detergents Chemicals,,category:others|company:better chemcare|type:inputs,Pieces,63,D2024020800367,512,zero,100,,,
Dewormers,dewormers,Dewormers,,category:drugs|company:coopers co ltd|type:inputs,Litre,10,D2024020800368,500,zero,100,,,
Deworming Syringe ,deworming-syringe,Deworming Syringe ,,category:other|company:medisel|type:inputs,Ml,60,D2024020800369,36,zero,100,,,
Dexajet,dexajet,Dexajet,,,Ml,50,D2024020800370,220,zero,100,,,
Dexaphan,dexaphan,Dexaphan,,category:others|company:swede|type:inputs,Ml,50,D2024020800371,210,zero,100,,,
Dexasone,dexasone,Dexasone,,category:others|company:medina|type:inputs,Ml,50,D2024020800372,250,zero,100,,,
Dexcyet,dexcyet,Dexcyet,,,Ml,100,D2024020800373,350,zero,100,,,
